count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
244,6245,6254,4,121,904,207,82,22,1,20719,16828,25858,"(11968, -235)"
245,6267,6276,1,123,905,111,80,24,5,20857,16977,25828,"(11927, -203)"
246,6289,6298,2,115,906,0,83,28,-1,20821,16828,25983,"(11927, -235)"
247,6311,6320,-2,112,897,175,83,22,-2,20976,16672,25935,"(11932, -235)"
248,6333,6342,10,105,929,95,85,30,-292,20611,16720,25953,"(11975, -235)"
249,6377,6385,2,110,936,15,77,26,5,20797,16774,25810,"(11984, -235)"
250,6406,6415,6,113,941,207,81,24,2,20923,17025,25636,"(11955, -235)"
251,6428,6437,14,107,937,-159,85,27,-3,20911,17055,26055,"(11962, -235)"
252,6450,6459,13,115,930,31,78,24,5,20635,16989,26103,"(12014, -235)"
253,6472,6481,12,106,935,191,74,21,1,20725,16702,26181,"(11919, -235)"
254,6494,6503,7,113,933,223,78,26,-1,20497,16762,26175,"(11901, -235)"
255,6556,6565,13,106,933,-223,85,26,290,20581,16882,26349,"(11914, -235)"
256,6578,6587,4,103,934,207,85,28,-2,20527,16786,26217,"(11989, -235)"
257,6600,6608,7,110,947,-191,89,25,-3,20713,16864,26169,"(11990, -235)"
258,6622,6630,4,108,932,31,82,30,1,20539,16804,26007,"(11962, -235)"
259,6644,6652,6,100,933,-159,81,21,-1,20773,16870,25995,"(11961, -235)"
260,6669,6678,2,115,927,-191,74,29,-1,20946,16906,26175,"(11991, -235)"
261,6691,6699,4,106,923,-63,82,22,4,20462,16846,26492,"(11940, -235)"
262,6713,6721,2,99,933,-191,82,25,0,20749,16810,26402,"(11919, -235)"
263,6739,6748,8,106,934,63,85,25,1,20821,16918,26103,"(11970, -235)"
264,6761,6770,4,100,928,0,78,22,0,20845,16971,26175,"(11961, -235)"
265,6783,6792,2,109,939,-175,86,25,-1,20761,16834,26193,"(11993, -235)"
266,6805,6814,9,100,926,-79,83,24,2,20785,17109,25888,"(11953, -235)"
267,6827,6836,8,110,923,-63,85,26,1,20677,16912,26109,"(11930, -235)"
268,6849,6857,0,111,924,79,78,24,0,20509,17097,25989,"(11993, -235)"
269,6871,6879,7,106,921,47,77,26,1,20707,16935,25989,"(11283, -235)"
270,6896,6905,9,108,929,-143,76,24,2,20468,16774,26091,"(11954, -235)"
271,6918,6927,8,115,928,31,78,24,-1,20450,16918,26127,"(11915, -235)"
272,6940,6949,10,109,933,-79,77,21,1,20659,16768,25965,"(11966, -235)"
273,6962,6970,3,108,939,191,85,21,-5,20701,16882,26073,"(11965, -235)"
274,6984,6992,6,114,936,239,82,24,2,20767,17013,25923,"(11960, -235)"
275,7006,7014,1,101,929,-63,83,25,3,20767,17013,26019,"(11974, -235)"
276,7032,7041,8,113,934,255,77,28,4,20557,17013,25858,"(11967, -235)"
277,7054,7063,6,107,924,0,85,30,4,20701,16786,26384,"(11942, -235)"
278,7076,7085,5,97,939,-207,89,22,-8,20593,16876,25917,"(11186, -235)"
279,7098,7107,4,107,937,-207,80,27,-1,20575,16798,25947,"(11917, -235)"
280,7123,7132,10,112,928,-143,88,29,-2,20569,15337,26193,"(11981, -235)"
281,7145,7154,3,111,937,175,82,22,6,20683,16888,25989,"(11983, -203)"
282,7167,7176,9,97,933,31,80,26,3,20803,16900,26402,"(11965, -235)"
283,7189,7198,10,108,937,79,77,25,-291,20683,16828,26307,"(11959, -235)"
284,7211,7220,10,97,926,0,83,29,0,20689,16929,26217,"(11952, -235)"
285,7233,7241,2,109,925,31,82,26,2,20701,17079,26271,"(11920, -235)"
286,7255,7263,5,108,926,-303,85,25,-2,20647,16923,26349,"(11924, -235)"
287,7277,7285,3,112,928,15,78,19,2,20731,16810,26360,"(11896, -203)"
288,7299,7307,13,105,926,111,91,27,-3,20527,17073,26193,"(11948, -235)"
289,7325,7333,8,109,934,-111,80,25,-1,20575,16762,26037,"(11992, -235)"
290,7350,7359,9,108,943,0,80,22,-1,20587,16894,26181,"(11988, -235)"
291,7372,7381,10,108,935,47,85,25,-2,20719,16941,26121,"(11959, -235)"
292,7394,7403,2,103,928,-47,77,25,1,20785,16929,26079,"(11965, -235)"
293,7416,7425,8,111,930,-111,82,22,-6,20839,16744,26085,"(11945, -235)"
294,7438,7447,5,108,933,191,82,24,3,20683,16900,26169,"(11914, -235)"
295,7460,7469,15,113,932,-15,73,24,0,20653,16678,26378,"(11901, -235)"
296,7482,7490,1,104,930,0,83,25,2,20605,16714,26331,"(11973, -235)"
297,7504,7512,4,107,931,255,81,25,-1,20635,16989,26043,"(11951, -235)"
